epoch,categorical_accuracy,loss
0,0.38461539149284363,1.6462676525115967
1,0.3333333432674408,1.8101323843002319
2,0.3333333432674408,1.9385952949523926
3,0.41025641560554504,2.0176353454589844
4,0.35897436738014221,1.7926334142684937
5,0.30769231915473938,1.9234116077423096
6,0.48717948794364929,1.1282819509506226
7,0.35897436738014221,2.144885778427124
8,0.41025641560554504,1.4968547821044922
9,0.41025641560554504,1.2993851900100708
10,0.48717948794364929,1.3814311027526855
11,0.53846156597137451,1.5141468048095703
12,0.48717948794364929,1.5496559143066406
13,0.41025641560554504,1.8192766904830933
14,0.38461539149284363,1.6477968692779541
15,0.46153846383094788,1.5956985950469971
16,0.5128205418586731,1.4114164113998413
17,0.5128205418586731,1.1747288703918457
18,0.38461539149284363,1.7360785007476807
19,0.56410259008407593,1.3826568126678467
20,0.48717948794364929,1.2836426496505737
21,0.41025641560554504,1.7784792184829712
22,0.46153846383094788,1.4596586227416992
23,0.43589743971824646,1.4133365154266357
24,0.53846156597137451,1.1449098587036133
25,0.61538463830947876,1.2334239482879639
26,0.66666668653488159,0.89540433883666992
27,0.58974361419677734,1.1438606977462769
28,0.56410259008407593,1.5437865257263184
29,0.5128205418586731,1.4557642936706543
30,0.74358975887298584,0.67822390794754028
31,0.64102566242218018,1.1741945743560791
32,0.66666668653488159,0.81930255889892578
33,0.66666668653488159,1.2626379728317261
34,0.56410259008407593,1.1911458969116211
35,0.56410259008407593,1.1353996992111206
36,0.64102566242218018,0.99591487646102905
37,0.69230771064758301,0.94430094957351685
38,0.58974361419677734,1.048366904258728
39,0.71794873476028442,0.80229473114013672
40,0.61538463830947876,1.1180776357650757
41,0.69230771064758301,0.75600898265838623
42,0.64102566242218018,1.023334264755249
43,0.71794873476028442,0.74831438064575195
44,0.71794873476028442,0.66092389822006226
45,0.71794873476028442,0.63818633556365967
46,0.66666668653488159,0.85979384183883667
47,0.69230771064758301,0.60188198089599609
48,0.79487180709838867,0.44421645998954773
49,0.61538463830947876,0.95712220668792725
50,0.61538463830947876,0.75197458267211914
51,0.82051283121109009,0.45245224237442017
52,0.69230771064758301,0.82023340463638306
53,0.76923078298568726,0.83644574880599976
54,0.69230771064758301,0.92151397466659546
55,0.8461538553237915,0.35510170459747314
56,0.71794873476028442,0.54398733377456665
57,0.82051283121109009,0.45299461483955383
58,0.82051283121109009,0.64324694871902466
59,0.79487180709838867,0.68475556373596191
60,0.71794873476028442,0.67782968282699585
61,0.8461538553237915,0.50978928804397583
62,0.76923078298568726,0.60739094018936157
63,0.87179487943649292,0.36701789498329163
64,0.71794873476028442,0.78994429111480713
65,0.76923078298568726,0.63806724548339844
66,0.74358975887298584,0.50041705369949341
67,0.79487180709838867,0.3670717179775238
68,0.8461538553237915,0.45791146159172058
69,0.8461538553237915,0.51935392618179321
